KO	GENE
ko00010	AYCG.ctg4.283
ko00010	AYCG.ctg2.335
ko00010	AYCG.ctg7.595
ko00010	AYCG.ctg34.577
ko00010	AYCG.ctg30.21
ko00010	AYCG.ctg6.124
ko00010	AYCG.ctg1.565
ko00010	AYCG.ctg36.202
ko00010	AYCG.ctg20.295
ko00010	AYCG.ctg9.332
ko00010	AYCG.ctg2.644
ko00010	AYCG.ctg22.181
ko00010	AYCG.ctg9.241
ko00010	AYCG.ctg2.647
ko00010	AYCG.ctg3.238
ko00010	AYCG.ctg25.205
ko00010	AYCG.ctg24.345
ko00010	AYCG.ctg7.341
ko00010	AYCG.ctg2.641
ko00010	AYCG.ctg11.6
ko00010	AYCG.ctg1.343
ko00010	AYCG.ctg2.85
ko00010	AYCG.ctg6.17
ko00010	AYCG.ctg15.38
ko00010	AYCG.ctg27.64
ko00010	add.AYCG.ctg567.1
ko00010	AYCG.ctg7.110
ko00010	AYCG.ctg34.131
ko00010	AYCG.ctg9.265
ko00010	AYCG.ctg16.260
ko00010	add.AYCG.ctg354.22
ko00010	AYCG.ctg4.10
ko00010	AYCG.ctg32.244
ko00010	AYCG.ctg9.169
ko00010	AYCG.ctg38.21
ko00010	AYCG.ctg32.59
ko00010	AYCG.ctg1.355
ko00010	AYCG.ctg18.283
ko00010	AYCG.ctg30.54
ko00010	AYCG.ctg11.126
ko00010	AYCG.ctg7.392
ko00010	AYCG.ctg39.26
ko00010	AYCG.ctg23.16
ko00010	add.AYCG.ctg39.4
ko00010	AYCG.ctg16.18
ko00010	AYCG.ctg56.45
ko00010	AYCG.ctg34.267
ko00010	AYCG.ctg17.210
ko00010	AYCG.ctg5.352
ko00010	AYCG.ctg6.39
ko00010	AYCG.ctg16.126
ko00010	AYCG.ctg3.301
ko00010	AYCG.ctg7.601
ko00010	AYCG.ctg20.258
ko00010	AYCG.ctg38.15
ko00010	AYCG.ctg23.338
ko00010	AYCG.ctg37.95
ko00010	AYCG.ctg2.450
ko00010	AYCG.ctg5.399
ko00010	AYCG.ctg36.20
ko00010	AYCG.ctg9.602
ko00010	AYCG.ctg7.680
ko00010	AYCG.ctg17.106
ko00010	AYCG.ctg3.532
ko00010	AYCG.ctg7.798
ko00010	AYCG.ctg12.136
ko00010	AYCG.ctg7.771
ko00010	AYCG.ctg34.576
ko00010	AYCG.ctg29.32
ko00010	AYCG.ctg5.21
ko00010	AYCG.ctg467.1
ko00010	AYCG.ctg34.269
ko00010	AYCG.ctg19.125
ko00010	AYCG.ctg6.378
ko00010	AYCG.ctg11.156
ko00010	AYCG.ctg34.62
ko00010	AYCG.ctg2.407
ko00010	AYCG.ctg4.457
ko00010	AYCG.ctg20.414
ko00010	AYCG.ctg2.643
ko00010	add.AYCG.ctg57.22
ko00010	AYCG.ctg19.59
ko00010	AYCG.ctg20.452
ko00010	add.AYCG.ctg10.208
ko00010	AYCG.ctg27.163
ko00010	AYCG.ctg21.197
ko00010	AYCG.ctg8.84
ko00010	AYCG.ctg32.148
ko00010	AYCG.ctg23.79
ko00010	AYCG.ctg7.943
ko00010	AYCG.ctg21.530
ko00010	AYCG.ctg4.460
ko00010	add.AYCG.ctg7.234
ko00010	AYCG.ctg17.43
ko00010	add.AYCG.ctg808.2
ko00010	AYCG.ctg31.249
ko00010	AYCG.ctg5.20
ko00010	AYCG.ctg10.152
ko00010	AYCG.ctg7.682
ko00010	AYCG.ctg31.247
ko00010	AYCG.ctg22.172
ko00010	AYCG.ctg24.123
ko00010	AYCG.ctg9.358
ko00010	AYCG.ctg1.428
ko00010	AYCG.ctg34.10
ko00010	AYCG.ctg24.25
ko00010	AYCG.ctg9.411
ko00010	AYCG.ctg56.56
ko00010	AYCG.ctg50.93
ko00010	AYCG.ctg25.469
ko00010	AYCG.ctg23.95
ko00010	AYCG.ctg56.15
ko00010	AYCG.ctg10.267
ko00010	AYCG.ctg20.610
ko00010	add.AYCG.ctg24.19
ko00010	AYCG.ctg9.137
ko00010	AYCG.ctg20.150
ko00010	AYCG.ctg24.154
ko00010	AYCG.ctg49.52
ko00010	add.AYCG.ctg6.110
ko00010	add.AYCG.ctg16.9
ko00010	AYCG.ctg10.495
ko00010	AYCG.ctg5.19
ko00010	add.AYCG.ctg511.1
ko00010	AYCG.ctg7.819
ko00010	AYCG.ctg20.602
ko00010	AYCG.ctg20.151
ko00010	AYCG.ctg15.103
ko00010	AYCG.ctg17.104
ko00010	add.AYCG.ctg57.23
ko00010	AYCG.ctg8.175
ko00010	AYCG.ctg28.231
ko00010	AYCG.ctg43.57
ko00010	AYCG.ctg32.147
ko00010	AYCG.ctg10.357
ko00010	AYCG.ctg34.552
ko00010	AYCG.ctg3.66
ko00010	AYCG.ctg7.12
ko00010	AYCG.ctg23.337
ko00010	AYCG.ctg23.159
ko00010	AYCG.ctg12.306
ko00010	AYCG.ctg7.993
ko00010	AYCG.ctg7.345
ko00010	AYCG.ctg52.4
ko00010	add.AYCG.ctg354.23
ko00010	AYCG.ctg36.49
ko00010	AYCG.ctg22.32
ko00010	AYCG.ctg22.30
ko00010	AYCG.ctg9.147
ko00010	AYCG.ctg7.944
ko00010	add.AYCG.ctg16.90
ko00020	AYCG.ctg12.307
ko00020	AYCG.ctg23.288
ko00020	AYCG.ctg22.149
ko00020	AYCG.ctg10.457
ko00020	AYCG.ctg24.332
ko00020	add.AYCG.ctg28.61
ko00020	AYCG.ctg7.577
ko00020	AYCG.ctg18.200
ko00020	AYCG.ctg25.478
ko00020	AYCG.ctg47.27
ko00020	AYCG.ctg21.220
ko00020	AYCG.ctg10.184
ko00020	AYCG.ctg17.42
ko00020	AYCG.ctg11.150
ko00020	AYCG.ctg22.302
ko00020	AYCG.ctg24.151
ko00020	AYCG.ctg23.255
ko00020	AYCG.ctg2.17
ko00020	AYCG.ctg7.941
ko00020	AYCG.ctg19.186
ko00020	add.AYCG.ctg7.288
ko00020	add.AYCG.ctg666.15
ko00020	add.AYCG.ctg354.25
ko00020	AYCG.ctg3.178
ko00020	AYCG.ctg29.3
ko00020	AYCG.ctg24.432
ko00020	AYCG.ctg5.505
ko00020	AYCG.ctg10.567
ko00020	add.AYCG.ctg20.175
ko00020	AYCG.ctg13.86
ko00020	AYCG.ctg46.41
ko00020	AYCG.ctg10.176
ko00020	AYCG.ctg5.882
ko00020	AYCG.ctg30.21
ko00020	AYCG.ctg2.306
ko00020	AYCG.ctg27.64
ko00020	add.AYCG.ctg567.1
ko00020	add.AYCG.ctg8.36
ko00020	AYCG.ctg34.586
ko00020	AYCG.ctg23.152
ko00020	AYCG.ctg11.126
ko00020	add.AYCG.ctg39.4
ko00020	AYCG.ctg22.199
ko00020	AYCG.ctg24.451
ko00020	AYCG.ctg4.299
ko00020	AYCG.ctg17.210
ko00020	AYCG.ctg41.90
ko00020	AYCG.ctg20.258
ko00020	AYCG.ctg5.399
ko00020	AYCG.ctg14.231
ko00020	AYCG.ctg467.1
ko00020	AYCG.ctg5.875
ko00020	AYCG.ctg4.403
ko00020	AYCG.ctg32.33
ko00020	AYCG.ctg5.660
ko00020	add.AYCG.ctg57.22
ko00020	AYCG.ctg29.191
ko00020	AYCG.ctg32.77
ko00020	add.AYCG.ctg10.208
ko00020	AYCG.ctg5.94
ko00020	AYCG.ctg7.943
ko00020	AYCG.ctg21.530
ko00020	AYCG.ctg17.43
ko00020	AYCG.ctg8.114
ko00020	AYCG.ctg20.492
ko00020	AYCG.ctg10.152
ko00020	AYCG.ctg52.35
ko00020	AYCG.ctg11.50
ko00020	AYCG.ctg9.411
ko00020	AYCG.ctg50.93
ko00020	AYCG.ctg49.52
ko00020	add.AYCG.ctg6.110
ko00020	add.AYCG.ctg16.9
ko00020	AYCG.ctg5.1038
ko00020	AYCG.ctg5.1039
ko00020	add.AYCG.ctg57.23
ko00020	AYCG.ctg3.66
ko00020	AYCG.ctg23.135
ko00020	AYCG.ctg2.587
ko00020	AYCG.ctg34.47
ko00020	AYCG.ctg10.458
ko00020	AYCG.ctg23.283
ko00020	AYCG.ctg18.304
ko00020	AYCG.ctg7.944
ko00020	add.AYCG.ctg16.90
ko00020	AYCG.ctg8.180
ko00030	AYCG.ctg17.129
ko00030	AYCG.ctg5.1025
ko00030	AYCG.ctg16.238
ko00030	AYCG.ctg27.97
ko00030	AYCG.ctg24.131
ko00030	AYCG.ctg1394.1
ko00030	AYCG.ctg7.1002
ko00030	AYCG.ctg1.150
ko00030	AYCG.ctg2.109
ko00030	AYCG.ctg22.168
ko00030	AYCG.ctg8.9
ko00030	AYCG.ctg4.534
ko00030	AYCG.ctg16.258
ko00030	add.AYCG.ctg25.128
ko00030	add.AYCG.ctg20.35
ko00030	add.AYCG.ctg56.9
ko00030	add.AYCG.ctg30.38
ko00030	add.AYCG.ctg566.1
ko00030	AYCG.ctg4.140
ko00030	AYCG.ctg34.132
ko00030	AYCG.ctg17.53
ko00030	add.AYCG.ctg25.109
ko00030	AYCG.ctg7.815
ko00030	AYCG.ctg9.693
ko00030	AYCG.ctg41.104
ko00030	AYCG.ctg19.162
ko00030	AYCG.ctg12.64
ko00030	AYCG.ctg22.170
ko00030	AYCG.ctg9.620
ko00030	AYCG.ctg30.92
ko00030	AYCG.ctg3.177
ko00030	AYCG.ctg5.56
ko00030	AYCG.ctg30.107
ko00030	AYCG.ctg21.263
ko00030	AYCG.ctg27.98
ko00030	AYCG.ctg28.80
ko00030	AYCG.ctg9.694
ko00030	AYCG.ctg64.4
ko00030	AYCG.ctg9.353
ko00030	AYCG.ctg23.336
ko00030	AYCG.ctg6.375
ko00030	AYCG.ctg7.48
ko00030	AYCG.ctg33.55
ko00030	AYCG.ctg31.346
ko00030	AYCG.ctg22.169
ko00030	AYCG.ctg7.333
ko00030	add.AYCG.ctg37.42
ko00030	AYCG.ctg7.458
ko00030	AYCG.ctg53.2
ko00030	AYCG.ctg22.171
ko00030	AYCG.ctg1.93
ko00030	AYCG.ctg28.102
ko00030	AYCG.ctg2.525
ko00030	AYCG.ctg23.145
ko00030	AYCG.ctg2.816
ko00030	AYCG.ctg7.1048
ko00030	AYCG.ctg57.31
ko00030	AYCG.ctg13.27
ko00030	AYCG.ctg5.628
ko00030	AYCG.ctg15.109
ko00030	AYCG.ctg9.264
ko00030	AYCG.ctg20.338
ko00030	AYCG.ctg2.335
ko00030	AYCG.ctg34.29
ko00030	AYCG.ctg7.595
ko00030	AYCG.ctg34.577
ko00030	AYCG.ctg23.279
ko00030	add.AYCG.ctg30.39
ko00030	add.AYCG.ctg37.45
ko00030	AYCG.ctg1.565
ko00030	AYCG.ctg20.295
ko00030	AYCG.ctg2.644
ko00030	AYCG.ctg9.241
ko00030	AYCG.ctg2.647
ko00030	AYCG.ctg3.238
ko00030	AYCG.ctg25.205
ko00030	AYCG.ctg32.237
ko00030	add.AYCG.ctg30.49
ko00030	AYCG.ctg7.110
ko00030	AYCG.ctg15.38
ko00030	AYCG.ctg34.131
ko00030	AYCG.ctg9.265
ko00030	AYCG.ctg16.260
ko00030	add.AYCG.ctg354.22
ko00030	AYCG.ctg9.169
ko00030	AYCG.ctg38.21
ko00030	add.AYCG.ctg11.41
ko00030	add.AYCG.ctg807.4
ko00030	AYCG.ctg1.355
ko00030	AYCG.ctg30.54
ko00030	AYCG.ctg30.97
ko00030	AYCG.ctg23.16
ko00030	AYCG.ctg39.26
ko00030	AYCG.ctg30.96
ko00030	AYCG.ctg56.45
ko00030	AYCG.ctg34.267
ko00030	AYCG.ctg3.301
ko00030	AYCG.ctg38.15
ko00030	AYCG.ctg23.338
ko00030	AYCG.ctg2.450
ko00030	AYCG.ctg36.20
ko00030	AYCG.ctg9.602
ko00030	AYCG.ctg3.532
ko00030	AYCG.ctg12.136
ko00030	AYCG.ctg34.576
ko00030	add.AYCG.ctg30.48
ko00030	AYCG.ctg34.269
ko00030	AYCG.ctg20.430
ko00030	add.AYCG.ctg28.103
ko00030	AYCG.ctg25.471
ko00030	AYCG.ctg34.61
ko00030	AYCG.ctg4.457
ko00030	AYCG.ctg5.686
ko00030	AYCG.ctg19.59
ko00030	AYCG.ctg2.643
ko00030	add.AYCG.ctg30.50
ko00030	AYCG.ctg12.11
ko00030	AYCG.ctg8.84
ko00030	AYCG.ctg23.79
ko00030	AYCG.ctg4.460
ko00030	AYCG.ctg20.486
ko00030	AYCG.ctg31.249
ko00030	AYCG.ctg7.682
ko00030	AYCG.ctg22.172
ko00030	AYCG.ctg31.247
ko00030	AYCG.ctg9.358
ko00030	AYCG.ctg24.123
ko00030	AYCG.ctg1.428
ko00030	AYCG.ctg24.25
ko00030	AYCG.ctg56.56
ko00030	AYCG.ctg25.469
ko00030	add.AYCG.ctg1200.6
ko00030	AYCG.ctg56.15
ko00030	AYCG.ctg9.137
ko00030	AYCG.ctg2.868
ko00030	AYCG.ctg20.150
ko00030	AYCG.ctg47.62
ko00030	AYCG.ctg20.610
ko00030	add.AYCG.ctg511.1
ko00030	AYCG.ctg20.151
ko00030	AYCG.ctg15.103
ko00030	AYCG.ctg8.175
ko00030	AYCG.ctg31.275
ko00030	AYCG.ctg22.294
ko00030	AYCG.ctg27.118
ko00030	AYCG.ctg29.118
ko00030	AYCG.ctg11.51
ko00030	add.AYCG.ctg33.69
ko00030	AYCG.ctg22.207
ko00030	AYCG.ctg23.159
ko00030	AYCG.ctg23.337
ko00030	AYCG.ctg12.306
ko00030	AYCG.ctg32.25
ko00030	add.AYCG.ctg16.33
ko00030	AYCG.ctg7.993
ko00030	AYCG.ctg52.4
ko00030	add.AYCG.ctg354.23
ko00030	AYCG.ctg22.32
ko00030	AYCG.ctg36.49
ko00030	AYCG.ctg22.30
ko00030	AYCG.ctg17.16
ko00030	add.AYCG.ctg56.10
ko00030	AYCG.ctg9.147
ko00030	AYCG.ctg25.111
ko00040	AYCG.ctg21.468
ko00040	add.AYCG.ctg62.24
ko00040	add.AYCG.ctg10.184
ko00040	add.AYCG.ctg46.42
ko00040	AYCG.ctg7.149
ko00040	AYCG.ctg18.7
ko00040	AYCG.ctg4.482
ko00040	AYCG.ctg29.135
ko00040	add.AYCG.ctg1739.1
ko00040	AYCG.ctg9.396
ko00040	AYCG.ctg2.617
ko00040	AYCG.ctg7.373
ko00040	AYCG.ctg4.98
ko00040	add.AYCG.ctg37.15
ko00040	AYCG.ctg16.119
ko00040	AYCG.ctg2.608
ko00040	AYCG.ctg5.446
ko00040	AYCG.ctg34.375
ko00040	add.AYCG.ctg7.279
ko00040	add.AYCG.ctg48.19
ko00040	AYCG.ctg3.456
ko00040	AYCG.ctg21.496
ko00040	add.AYCG.ctg11.58
ko00040	AYCG.ctg34.83
ko00040	AYCG.ctg7.1052
ko00040	AYCG.ctg23.179
ko00040	AYCG.ctg17.121
ko00040	AYCG.ctg2.471
ko00040	add.AYCG.ctg48.20
ko00040	AYCG.ctg10.11
ko00040	AYCG.ctg8.226
ko00040	AYCG.ctg4.541
ko00040	add.AYCG.ctg11.63
ko00040	AYCG.ctg2.50
ko00040	AYCG.ctg10.96
ko00040	AYCG.ctg123.5
ko00040	add.AYCG.ctg19.138
ko00040	add.AYCG.ctg25.13
ko00040	AYCG.ctg4.480
ko00040	AYCG.ctg7.1051
ko00040	AYCG.ctg20.141
ko00040	AYCG.ctg1.460
ko00040	AYCG.ctg5.927
ko00040	add.AYCG.ctg28.63
ko00040	AYCG.ctg34.383
ko00040	add.AYCG.ctg7.278
ko00040	AYCG.ctg7.508
ko00040	AYCG.ctg7.1016
ko00040	AYCG.ctg34.176
ko00040	add.AYCG.ctg16.87
ko00040	AYCG.ctg25.164
ko00040	add.AYCG.ctg2.56
ko00040	add.AYCG.ctg21.182
ko00040	add.AYCG.ctg20.71
ko00040	AYCG.ctg23.343
ko00040	add.AYCG.ctg20.189
ko00040	AYCG.ctg2.387
ko00040	add.AYCG.ctg24.28
ko00040	add.AYCG.ctg34.175
ko00040	add.AYCG.ctg1.149
ko00040	AYCG.ctg805.1
ko00040	AYCG.ctg32.38
ko00040	add.AYCG.ctg20.165
ko00040	add.AYCG.ctg41.49
ko00040	add.AYCG.ctg20.70
ko00040	AYCG.ctg14.309
ko00040	add.AYCG.ctg5.207
ko00040	AYCG.ctg27.113
ko00040	AYCG.ctg7.170
ko00040	AYCG.ctg12.256
ko00040	AYCG.ctg36.74
ko00040	AYCG.ctg14.392
ko00040	add.AYCG.ctg7.294
ko00040	AYCG.ctg32.317
ko00040	add.AYCG.ctg24.29
ko00040	add.AYCG.ctg65.14
ko00040	add.AYCG.ctg10.9
ko00040	add.AYCG.ctg1.148
ko00040	AYCG.ctg20.321
ko00040	AYCG.ctg34.29
ko00040	AYCG.ctg30.159
ko00040	add.AYCG.ctg32.134
ko00040	add.AYCG.ctg18.131
ko00040	AYCG.ctg17.171
ko00040	add.AYCG.ctg10.189
ko00040	AYCG.ctg66.13
ko00040	AYCG.ctg10.172
ko00040	AYCG.ctg1.475
ko00040	AYCG.ctg34.44
ko00040	AYCG.ctg21.456
ko00040	AYCG.ctg1.467
ko00040	AYCG.ctg25.473
ko00040	AYCG.ctg1.446
ko00040	add.AYCG.ctg22.39
ko00040	add.AYCG.ctg7.378
ko00040	add.AYCG.ctg21.211
ko00040	add.AYCG.ctg25.162
ko00040	add.AYCG.ctg4.202
ko00040	add.AYCG.ctg66.4
ko00040	AYCG.ctg20.174
ko00040	AYCG.ctg28.249
ko00040	add.AYCG.ctg849.1
ko00040	AYCG.ctg21.415
ko00040	AYCG.ctg47.64
ko00040	AYCG.ctg22.127
ko00040	add.AYCG.ctg4.30
ko00040	AYCG.ctg20.520
ko00040	AYCG.ctg1.170
ko00040	AYCG.ctg22.126
ko00040	AYCG.ctg21.175
ko00040	AYCG.ctg5.700
ko00040	AYCG.ctg1.169
ko00040	add.AYCG.ctg38.5
ko00040	add.AYCG.ctg7.183
ko00040	AYCG.ctg9.46
ko00040	AYCG.ctg20.75
ko00040	add.AYCG.ctg26.53
ko00040	AYCG.ctg20.191
ko00040	AYCG.ctg17.206
ko00040	AYCG.ctg1.345
ko00040	AYCG.ctg21.455
ko00040	AYCG.ctg1739.1
ko00040	AYCG.ctg10.197
ko00040	AYCG.ctg9.687
ko00040	AYCG.ctg32.178
ko00040	AYCG.ctg23.273
ko00040	AYCG.ctg30.160
ko00040	AYCG.ctg31.342
ko00040	add.AYCG.ctg25.160
ko00040	AYCG.ctg7.1014
ko00040	AYCG.ctg3.463
ko00040	add.AYCG.ctg2.214
ko00040	AYCG.ctg11.165
ko00040	AYCG.ctg21.457
ko00040	AYCG.ctg22.214
ko00040	AYCG.ctg10.446
ko00040	AYCG.ctg7.423
ko00040	add.AYCG.ctg23.116
ko00040	add.AYCG.ctg10.205
ko00040	AYCG.ctg2.473
ko00040	add.AYCG.ctg7.178
ko00040	AYCG.ctg34.651
ko00040	add.AYCG.ctg32.83
ko00040	AYCG.ctg11.167
ko00040	add.AYCG.ctg1.143
ko00040	AYCG.ctg3.158
ko00040	AYCG.ctg32.141
ko00040	AYCG.ctg20.486
ko00040	add.AYCG.ctg16.86
ko00040	AYCG.ctg28.82
ko00040	AYCG.ctg2.102
ko00040	AYCG.ctg5.499
ko00040	add.AYCG.ctg7.179
ko00040	AYCG.ctg32.50
ko00040	AYCG.ctg37.17
ko00040	AYCG.ctg1.474
ko00040	AYCG.ctg34.169
ko00040	AYCG.ctg9.395
ko00040	add.AYCG.ctg66.5
ko00040	add.AYCG.ctg694.3
ko00040	AYCG.ctg34.672
ko00040	AYCG.ctg62.20
ko00040	AYCG.ctg30.158
ko00040	AYCG.ctg3.88
ko00040	AYCG.ctg7.444
ko00040	AYCG.ctg9.311
ko00040	AYCG.ctg19.8
ko00040	add.AYCG.ctg46.41
ko00040	add.AYCG.ctg23.115
ko00040	AYCG.ctg11.48
ko00040	AYCG.ctg11.124
ko00040	add.AYCG.ctg65.13
ko00040	AYCG.ctg17.241
ko00040	AYCG.ctg7.880
ko00040	AYCG.ctg17.168
ko00040	AYCG.ctg23.9
ko00040	AYCG.ctg11.164
ko00040	AYCG.ctg53.5
ko00040	add.AYCG.ctg10.183
ko00040	AYCG.ctg20.217
ko00040	AYCG.ctg24.325
ko00040	AYCG.ctg11.166
ko00040	AYCG.ctg9.101
ko00040	add.AYCG.ctg24.174
ko00040	AYCG.ctg23.112
ko00040	AYCG.ctg11.51
ko00040	AYCG.ctg1.473
ko00040	add.AYCG.ctg34.112
ko00040	add.AYCG.ctg21.212
ko00040	AYCG.ctg21.485
ko00040	AYCG.ctg2.118
ko00040	add.AYCG.ctg694.1
ko00040	add.AYCG.ctg10.74
ko00040	AYCG.ctg16.77
ko00040	AYCG.ctg22.198
ko00040	add.AYCG.ctg29.74
ko00040	AYCG.ctg9.549
ko00040	add.AYCG.ctg7.374
ko00040	AYCG.ctg7.424
ko00040	add.AYCG.ctg19.133
ko00051	AYCG.ctg4.341
ko00051	add.AYCG.ctg4.192
ko00051	AYCG.ctg34.144
ko00051	AYCG.ctg4.482
ko00051	AYCG.ctg4.458
ko00051	AYCG.ctg21.76
ko00051	AYCG.ctg55.12
ko00051	AYCG.ctg59.39
ko00051	AYCG.ctg1.150
ko00051	AYCG.ctg3.313
ko00051	AYCG.ctg2.109
ko00051	AYCG.ctg8.9
ko00051	AYCG.ctg4.534
ko00051	AYCG.ctg32.361
ko00051	AYCG.ctg16.258
ko00051	add.AYCG.ctg24.196
ko00051	AYCG.ctg27.39
ko00051	add.AYCG.ctg25.128
ko00051	AYCG.ctg7.1052
ko00051	AYCG.ctg4.140
ko00051	AYCG.ctg34.132
ko00051	AYCG.ctg14.414
ko00051	AYCG.ctg21.55
ko00051	AYCG.ctg2.471
ko00051	AYCG.ctg9.429
ko00051	AYCG.ctg7.815
ko00051	AYCG.ctg35.2
ko00051	AYCG.ctg7.1051
ko00051	AYCG.ctg4.480
ko00051	AYCG.ctg12.64
ko00051	AYCG.ctg22.170
ko00051	AYCG.ctg20.141
ko00051	add.AYCG.ctg1187.5
ko00051	AYCG.ctg3.177
ko00051	AYCG.ctg7.1016
ko00051	AYCG.ctg9.470
ko00051	AYCG.ctg28.80
ko00051	AYCG.ctg14.370
ko00051	AYCG.ctg64.4
ko00051	AYCG.ctg9.353
ko00051	AYCG.ctg23.336
ko00051	AYCG.ctg6.375
ko00051	AYCG.ctg7.48
ko00051	AYCG.ctg2.387
ko00051	AYCG.ctg22.169
ko00051	AYCG.ctg7.333
ko00051	AYCG.ctg6.165
ko00051	AYCG.ctg21.549
ko00051	add.AYCG.ctg37.42
ko00051	AYCG.ctg22.171
ko00051	AYCG.ctg32.283
ko00051	AYCG.ctg4.484
ko00051	AYCG.ctg2.525
ko00051	AYCG.ctg23.145
ko00051	AYCG.ctg11.217
ko00051	AYCG.ctg28.135
ko00051	AYCG.ctg5.628
ko00051	AYCG.ctg15.109
ko00051	AYCG.ctg9.264
ko00051	AYCG.ctg21.513
ko00051	AYCG.ctg2.335
ko00051	AYCG.ctg30.159
ko00051	add.AYCG.ctg50.4
ko00051	AYCG.ctg34.577
ko00051	AYCG.ctg1.565
ko00051	add.AYCG.ctg10.193
ko00051	AYCG.ctg2.644
ko00051	AYCG.ctg11.78
ko00051	AYCG.ctg2.647
ko00051	add.AYCG.ctg7.378
ko00051	AYCG.ctg20.409
ko00051	AYCG.ctg1.343
ko00051	AYCG.ctg2.85
ko00051	AYCG.ctg63.10
ko00051	AYCG.ctg15.38
ko00051	add.AYCG.ctg4.202
ko00051	add.AYCG.ctg10.209
ko00051	AYCG.ctg9.265
ko00051	AYCG.ctg34.131
ko00051	add.AYCG.ctg56.20
ko00051	AYCG.ctg3.214
ko00051	AYCG.ctg1.141
ko00051	add.AYCG.ctg354.22
ko00051	AYCG.ctg3.491
ko00051	AYCG.ctg1.355
ko00051	AYCG.ctg1.170
ko00051	AYCG.ctg22.47
ko00051	AYCG.ctg30.54
ko00051	AYCG.ctg34.327
ko00051	AYCG.ctg1.169
ko00051	add.AYCG.ctg1187.3
ko00051	AYCG.ctg24.350
ko00051	AYCG.ctg6.39
ko00051	AYCG.ctg3.301
ko00051	add.AYCG.ctg809.10
ko00051	AYCG.ctg38.15
ko00051	AYCG.ctg23.338
ko00051	AYCG.ctg36.20
ko00051	AYCG.ctg9.602
ko00051	AYCG.ctg20.191
ko00051	AYCG.ctg17.206
ko00051	AYCG.ctg34.576
ko00051	AYCG.ctg30.160
ko00051	add.AYCG.ctg2.214
ko00051	AYCG.ctg3.463
ko00051	AYCG.ctg31.194
ko00051	AYCG.ctg22.214
ko00051	AYCG.ctg2.473
