GO	GENE	CLASS
GO:0032183	AYCG.ctg15.156	molecular_function
GO:0005515	AYCG.ctg15.156	molecular_function
GO:0004843	AYCG.ctg15.156	molecular_function
GO:0005509	add.AYCG.ctg9.133	molecular_function
GO:0005515	add.AYCG.ctg9.133	molecular_function
GO:0006629	AYCG.ctg3.482	biological_process
GO:0055085	AYCG.ctg3.482	biological_process
GO:0008948	AYCG.ctg3.482	molecular_function
GO:0015081	AYCG.ctg3.482	molecular_function
GO:0016021	AYCG.ctg3.482	cellular_component
GO:0016020	AYCG.ctg3.482	cellular_component
GO:0005886	AYCG.ctg3.482	cellular_component
GO:0051258	AYCG.ctg23.157	biological_process
GO:0006468	AYCG.ctg23.157	biological_process
GO:0023041	AYCG.ctg23.157	biological_process
GO:0030168	AYCG.ctg23.157	biological_process
GO:0005524	AYCG.ctg23.157	molecular_function
GO:0004672	AYCG.ctg23.157	molecular_function
GO:0005102	AYCG.ctg23.157	molecular_function
GO:0030867	AYCG.ctg23.157	cellular_component
GO:0005577	AYCG.ctg23.157	cellular_component
GO:0006412	AYCG.ctg2.186	biological_process
GO:0003735	AYCG.ctg2.186	molecular_function
GO:0005840	AYCG.ctg2.186	cellular_component
GO:0055085	AYCG.ctg56.19	biological_process
GO:0015297	AYCG.ctg56.19	molecular_function
GO:0042910	AYCG.ctg56.19	molecular_function
GO:0016020	AYCG.ctg56.19	cellular_component
GO:0006520	AYCG.ctg22.208	biological_process
GO:0007283	AYCG.ctg22.208	biological_process
GO:0009058	AYCG.ctg22.208	biological_process
GO:0007131	AYCG.ctg22.208	biological_process
GO:0007130	AYCG.ctg22.208	biological_process
GO:0016829	AYCG.ctg22.208	molecular_function
GO:0030170	AYCG.ctg22.208	molecular_function
GO:0055114	AYCG.ctg28.110	biological_process
GO:0005506	AYCG.ctg28.110	molecular_function
GO:0016705	AYCG.ctg28.110	molecular_function
GO:0020037	AYCG.ctg28.110	molecular_function
GO:0006694	AYCG.ctg31.212	biological_process
GO:0055114	AYCG.ctg31.212	biological_process
GO:0016616	AYCG.ctg31.212	molecular_function
GO:0003824	AYCG.ctg31.212	molecular_function
GO:0003854	AYCG.ctg31.212	molecular_function
GO:0008168	AYCG.ctg31.212	molecular_function
GO:0016491	AYCG.ctg31.212	molecular_function
GO:0006338	AYCG.ctg25.126	biological_process
GO:0016818	AYCG.ctg25.126	molecular_function
GO:0005524	AYCG.ctg25.126	molecular_function
GO:0003676	AYCG.ctg25.126	molecular_function
GO:0005634	AYCG.ctg25.126	cellular_component
GO:0016747	add.AYCG.ctg34.84	molecular_function
GO:0043666	add.AYCG.ctg36.2	biological_process
GO:0006360	add.AYCG.ctg36.2	biological_process
GO:0006874	add.AYCG.ctg36.2	biological_process
GO:0006270	add.AYCG.ctg36.2	biological_process
GO:0006355	add.AYCG.ctg36.2	biological_process
GO:0015743	add.AYCG.ctg36.2	biological_process
GO:0016485	add.AYCG.ctg36.2	biological_process
GO:0006383	add.AYCG.ctg36.2	biological_process
GO:0006811	add.AYCG.ctg36.2	biological_process
GO:0042626	add.AYCG.ctg36.2	molecular_function
GO:0003700	add.AYCG.ctg36.2	molecular_function
GO:0019903	add.AYCG.ctg36.2	molecular_function
GO:0022857	add.AYCG.ctg36.2	molecular_function
GO:0004190	add.AYCG.ctg36.2	molecular_function
GO:0003677	add.AYCG.ctg36.2	molecular_function
GO:0046983	add.AYCG.ctg36.2	molecular_function
GO:0046872	add.AYCG.ctg36.2	molecular_function
GO:0005219	add.AYCG.ctg36.2	molecular_function
GO:0005666	add.AYCG.ctg36.2	cellular_component
GO:0016020	add.AYCG.ctg36.2	cellular_component
GO:0016021	add.AYCG.ctg36.2	cellular_component
GO:0006355	AYCG.ctg11.15	biological_process
GO:0003723	AYCG.ctg11.15	molecular_function
GO:0003779	AYCG.ctg10.334	molecular_function
GO:0005542	AYCG.ctg21.23	molecular_function
GO:0016740	AYCG.ctg21.23	molecular_function
GO:0016020	AYCG.ctg56.28	cellular_component
GO:0016485	AYCG.ctg36.8	biological_process
GO:0004190	AYCG.ctg36.8	molecular_function
GO:0016021	AYCG.ctg36.8	cellular_component
GO:0055085	AYCG.ctg23.382	biological_process
GO:0016021	AYCG.ctg23.382	cellular_component
GO:0009405	add.AYCG.ctg18.59	biological_process
GO:0019871	add.AYCG.ctg18.59	molecular_function
GO:0005576	add.AYCG.ctg18.59	cellular_component
GO:0055114	add.AYCG.ctg34.7	biological_process
GO:0008137	add.AYCG.ctg34.7	molecular_function
GO:0008137	add.AYCG.ctg34.7	molecular_function
GO:0005783	add.AYCG.ctg34.7	cellular_component
GO:0009058	AYCG.ctg47.23	biological_process
GO:0008483	AYCG.ctg47.23	molecular_function
GO:0046983	AYCG.ctg47.23	molecular_function
GO:0030170	AYCG.ctg47.23	molecular_function
GO:0006122	AYCG.ctg9.575	biological_process
GO:0005743	AYCG.ctg9.575	cellular_component
GO:0005750	AYCG.ctg9.575	cellular_component
GO:0015986	add.AYCG.ctg43.28	biological_process
GO:0030521	add.AYCG.ctg43.28	biological_process
GO:0006355	add.AYCG.ctg43.28	biological_process
GO:0023041	add.AYCG.ctg43.28	biological_process
GO:0006367	add.AYCG.ctg43.28	biological_process
GO:0003677	add.AYCG.ctg43.28	molecular_function
GO:0005496	add.AYCG.ctg43.28	molecular_function
GO:0000772	add.AYCG.ctg43.28	molecular_function
GO:0015078	add.AYCG.ctg43.28	molecular_function
GO:0004879	add.AYCG.ctg43.28	molecular_function
GO:0016020	add.AYCG.ctg43.28	cellular_component
GO:0005634	add.AYCG.ctg43.28	cellular_component
GO:0000276	add.AYCG.ctg43.28	cellular_component
GO:0030867	add.AYCG.ctg43.28	cellular_component
GO:0005672	add.AYCG.ctg43.28	cellular_component
GO:0006468	AYCG.ctg5.523	biological_process
GO:0071805	AYCG.ctg5.523	biological_process
GO:0004672	AYCG.ctg5.523	molecular_function
GO:0015079	AYCG.ctg5.523	molecular_function
GO:0005524	AYCG.ctg5.523	molecular_function
GO:0016020	AYCG.ctg5.523	cellular_component
GO:0008855	AYCG.ctg37.67	molecular_function
GO:0005515	AYCG.ctg37.67	molecular_function
GO:0000062	AYCG.ctg37.67	molecular_function
GO:0006412	AYCG.ctg9.300	biological_process
GO:0006741	AYCG.ctg9.300	biological_process
GO:0003735	AYCG.ctg9.300	molecular_function
GO:0004721	AYCG.ctg9.300	molecular_function
GO:0003951	AYCG.ctg9.300	molecular_function
GO:0005840	AYCG.ctg9.300	cellular_component
GO:0005739	AYCG.ctg9.300	cellular_component
GO:0016747	AYCG.ctg14.465	molecular_function
GO:0009306	AYCG.ctg9.282	biological_process
GO:0055114	AYCG.ctg9.282	biological_process
GO:0016209	AYCG.ctg9.282	molecular_function
GO:0015035	AYCG.ctg9.282	molecular_function
GO:0016491	AYCG.ctg9.282	molecular_function
GO:0005788	AYCG.ctg9.282	cellular_component
GO:0006520	AYCG.ctg9.114	biological_process
GO:0009058	AYCG.ctg9.114	biological_process
GO:0016829	AYCG.ctg9.114	molecular_function
GO:0030170	AYCG.ctg9.114	molecular_function
GO:0005975	AYCG.ctg10.181	biological_process
GO:0004553	AYCG.ctg10.181	molecular_function
GO:0006468	AYCG.ctg18.46	biological_process
GO:0007219	AYCG.ctg18.46	biological_process
GO:0007423	AYCG.ctg18.46	biological_process
GO:0005524	AYCG.ctg18.46	molecular_function
GO:0004672	AYCG.ctg18.46	molecular_function
GO:0016012	add.AYCG.ctg7.35	cellular_component
GO:0016021	add.AYCG.ctg7.35	cellular_component
GO:0006468	AYCG.ctg7.1004	biological_process
GO:0007010	AYCG.ctg7.1004	biological_process
GO:0003779	AYCG.ctg7.1004	molecular_function
GO:0005524	AYCG.ctg7.1004	molecular_function
GO:0004672	AYCG.ctg7.1004	molecular_function
GO:0006468	AYCG.ctg20.439	biological_process
GO:0005515	AYCG.ctg20.439	molecular_function
GO:0005524	AYCG.ctg20.439	molecular_function
GO:0004672	AYCG.ctg20.439	molecular_function
GO:0003677	AYCG.ctg28.21	molecular_function
GO:0008289	AYCG.ctg19.69	molecular_function
GO:0006334	AYCG.ctg5.619	biological_process
GO:0003677	AYCG.ctg5.619	molecular_function
GO:0000786	AYCG.ctg5.619	cellular_component
GO:0031072	AYCG.ctg14.101	molecular_function
GO:0051082	AYCG.ctg14.101	molecular_function
GO:0003682	AYCG.ctg14.427	molecular_function
GO:0003677	AYCG.ctg14.427	molecular_function
GO:0000775	AYCG.ctg14.427	cellular_component
GO:0008168	AYCG.ctg11.93	molecular_function
GO:0005515	add.AYCG.ctg5.56	molecular_function
GO:0055114	AYCG.ctg19.214	biological_process
GO:0016730	AYCG.ctg19.214	molecular_function
GO:0006355	AYCG.ctg1.801	biological_process
GO:0006886	AYCG.ctg1.801	biological_process
GO:0006606	AYCG.ctg1.801	biological_process
GO:0008053	AYCG.ctg1.801	biological_process
GO:0023041	AYCG.ctg1.801	biological_process
GO:0007155	AYCG.ctg1.801	biological_process
GO:0006310	AYCG.ctg1.801	biological_process
GO:0007030	AYCG.ctg1.801	biological_process
GO:0016192	AYCG.ctg1.801	biological_process
GO:0043093	AYCG.ctg1.801	biological_process
GO:0048870	AYCG.ctg1.801	biological_process
GO:0003677	AYCG.ctg1.801	molecular_function
GO:0043565	AYCG.ctg1.801	molecular_function
GO:0070840	AYCG.ctg1.801	molecular_function
GO:0042802	AYCG.ctg1.801	molecular_function
GO:0042803	AYCG.ctg1.801	molecular_function
GO:0003924	AYCG.ctg1.801	molecular_function
GO:0008134	AYCG.ctg1.801	molecular_function
GO:0003700	AYCG.ctg1.801	molecular_function
GO:0005515	AYCG.ctg1.801	molecular_function
GO:0043015	AYCG.ctg1.801	molecular_function
GO:0005737	AYCG.ctg1.801	cellular_component
GO:0031514	AYCG.ctg1.801	cellular_component
GO:0016021	AYCG.ctg1.801	cellular_component
GO:0016020	AYCG.ctg1.801	cellular_component
GO:0031511	AYCG.ctg1.801	cellular_component
GO:0005801	AYCG.ctg1.801	cellular_component
GO:0030867	AYCG.ctg1.801	cellular_component
GO:0005741	AYCG.ctg1.801	cellular_component
GO:0005634	AYCG.ctg1.801	cellular_component
GO:0048544	add.AYCG.ctg68.1	biological_process
GO:0016567	add.AYCG.ctg38.26	biological_process
GO:0004842	add.AYCG.ctg38.26	molecular_function
GO:0008270	add.AYCG.ctg38.26	molecular_function
GO:0005515	add.AYCG.ctg38.26	molecular_function
GO:0006188	AYCG.ctg7.464	biological_process
GO:0004018	AYCG.ctg7.464	molecular_function
GO:0004018	AYCG.ctg7.464	molecular_function
GO:0006751	AYCG.ctg1.760	biological_process
GO:0003839	AYCG.ctg1.760	molecular_function
GO:0051539	add.AYCG.ctg22.109	molecular_function
GO:0070122	AYCG.ctg7.643	molecular_function
GO:0008237	AYCG.ctg7.643	molecular_function
GO:0005515	AYCG.ctg7.643	molecular_function
GO:0006355	AYCG.ctg2.549	biological_process
GO:0003677	AYCG.ctg2.549	molecular_function
GO:0006886	AYCG.ctg14.57	biological_process
GO:0005801	AYCG.ctg14.57	cellular_component
GO:0016020	AYCG.ctg14.57	cellular_component
GO:0006508	add.AYCG.ctg14.5	biological_process
GO:0008236	add.AYCG.ctg14.5	molecular_function
GO:0007275	AYCG.ctg28.105	biological_process
GO:0016021	AYCG.ctg5.945	cellular_component
GO:0005515	add.AYCG.ctg22.96	molecular_function
GO:0055085	AYCG.ctg34.143	biological_process
GO:0022857	AYCG.ctg34.143	molecular_function
GO:0016020	AYCG.ctg34.143	cellular_component
GO:0009405	add.AYCG.ctg6.12	biological_process
GO:0043022	add.AYCG.ctg6.12	molecular_function
GO:0003723	add.AYCG.ctg6.12	molecular_function
GO:0016788	add.AYCG.ctg6.12	molecular_function
GO:0007155	AYCG.ctg19.305	biological_process
GO:0006508	AYCG.ctg19.305	biological_process
GO:0004222	AYCG.ctg19.305	molecular_function
GO:0016020	AYCG.ctg19.305	cellular_component
GO:0006355	add.AYCG.ctg34.203	biological_process
GO:0009271	add.AYCG.ctg34.203	biological_process
GO:0006355	add.AYCG.ctg2.78	biological_process
GO:0003677	add.AYCG.ctg2.78	molecular_function
GO:0006402	AYCG.ctg14.417	biological_process
GO:0004535	AYCG.ctg14.417	molecular_function
GO:0003723	AYCG.ctg14.417	molecular_function
GO:0003676	AYCG.ctg14.417	molecular_function
GO:0046872	AYCG.ctg14.417	molecular_function
GO:0005737	AYCG.ctg14.417	cellular_component
GO:0005634	AYCG.ctg14.417	cellular_component
GO:0015031	AYCG.ctg25.405	biological_process
GO:0030001	AYCG.ctg25.405	biological_process
GO:0046872	AYCG.ctg25.405	molecular_function
GO:0030176	AYCG.ctg25.405	cellular_component
GO:0006508	AYCG.ctg1.130	biological_process
GO:0004185	AYCG.ctg1.130	molecular_function
GO:0007155	AYCG.ctg22.231	biological_process
GO:0001503	AYCG.ctg22.231	biological_process
GO:0003676	AYCG.ctg22.231	molecular_function
GO:0019031	AYCG.ctg22.231	cellular_component
GO:0005576	AYCG.ctg22.231	cellular_component
GO:0016020	AYCG.ctg52.26	cellular_component
GO:0055114	AYCG.ctg7.187	biological_process
GO:0006886	AYCG.ctg20.183	biological_process
GO:0019073	AYCG.ctg20.183	biological_process
GO:0017119	AYCG.ctg20.183	cellular_component
GO:0005515	AYCG.ctg25.5	molecular_function
GO:0016787	AYCG.ctg7.523	molecular_function
GO:0003682	AYCG.ctg7.523	molecular_function
GO:0005524	AYCG.ctg7.523	molecular_function
GO:0003677	AYCG.ctg7.523	molecular_function
GO:0006412	AYCG.ctg16.265	biological_process
GO:0003735	AYCG.ctg16.265	molecular_function
GO:0005840	AYCG.ctg16.265	cellular_component
GO:0055114	AYCG.ctg26.28	biological_process
GO:0008168	AYCG.ctg26.28	molecular_function
GO:0005506	AYCG.ctg26.28	molecular_function
GO:0016705	AYCG.ctg26.28	molecular_function
GO:0020037	AYCG.ctg26.28	molecular_function
GO:0043039	AYCG.ctg3.449	biological_process
GO:0004812	AYCG.ctg3.449	molecular_function
GO:0005524	AYCG.ctg3.449	molecular_function
GO:0005509	AYCG.ctg7.271	molecular_function
GO:0006887	AYCG.ctg13.8	biological_process
GO:0000145	AYCG.ctg13.8	cellular_component
GO:0030521	AYCG.ctg10.194	biological_process
GO:0006355	AYCG.ctg10.194	biological_process
GO:0003712	AYCG.ctg10.194	molecular_function
GO:0003677	AYCG.ctg10.194	molecular_function
GO:0005496	AYCG.ctg10.194	molecular_function
GO:0004879	AYCG.ctg10.194	molecular_function
GO:0000124	AYCG.ctg10.194	cellular_component
GO:0005634	AYCG.ctg10.194	cellular_component
GO:0016021	AYCG.ctg10.194	cellular_component
GO:0006265	AYCG.ctg14.459	biological_process
GO:0003918	AYCG.ctg14.459	molecular_function
GO:0003918	AYCG.ctg14.459	molecular_function
GO:0003677	AYCG.ctg14.459	molecular_function
GO:0005094	AYCG.ctg29.137	molecular_function
GO:0005737	AYCG.ctg29.137	cellular_component
GO:0008168	AYCG.ctg9.193	molecular_function
GO:0006355	add.AYCG.ctg20.44	biological_process
GO:0003700	add.AYCG.ctg20.44	molecular_function
GO:0006468	AYCG.ctg18.76	biological_process
GO:0005524	AYCG.ctg18.76	molecular_function
GO:0004672	AYCG.ctg18.76	molecular_function
GO:0046872	AYCG.ctg36.28	molecular_function
GO:0045202	AYCG.ctg36.28	cellular_component
GO:0006457	AYCG.ctg19.80	biological_process
GO:0030474	AYCG.ctg19.80	biological_process
GO:0023041	AYCG.ctg19.80	biological_process
GO:0048309	AYCG.ctg19.80	biological_process
GO:0006357	AYCG.ctg19.80	biological_process
GO:0006260	AYCG.ctg19.80	biological_process
GO:0051028	AYCG.ctg19.80	biological_process
GO:0071988	AYCG.ctg19.80	biological_process
GO:0051087	AYCG.ctg19.80	molecular_function
GO:0003712	AYCG.ctg19.80	molecular_function
GO:0000774	AYCG.ctg19.80	molecular_function
GO:0042803	AYCG.ctg19.80	molecular_function
GO:0030867	AYCG.ctg19.80	cellular_component
GO:0016592	AYCG.ctg19.80	cellular_component
GO:0006468	AYCG.ctg24.357	biological_process
GO:0005524	AYCG.ctg24.357	molecular_function
GO:0004672	AYCG.ctg24.357	molecular_function
GO:0055114	AYCG.ctg2.193	biological_process
GO:0016491	AYCG.ctg2.193	molecular_function
GO:0046373	AYCG.ctg9.591	biological_process
GO:0046556	AYCG.ctg9.591	molecular_function
GO:0016798	AYCG.ctg9.591	molecular_function
GO:0007205	AYCG.ctg3.469	biological_process
GO:0016301	AYCG.ctg3.469	molecular_function
GO:0004143	AYCG.ctg3.469	molecular_function
GO:0030247	add.AYCG.ctg25.163	molecular_function
GO:0006468	AYCG.ctg1.654	biological_process
GO:0005524	AYCG.ctg1.654	molecular_function
GO:0004672	AYCG.ctg1.654	molecular_function
GO:0005975	AYCG.ctg7.440	biological_process
GO:0004565	AYCG.ctg7.440	molecular_function
GO:0030246	AYCG.ctg7.440	molecular_function
GO:0009341	AYCG.ctg7.440	cellular_component
GO:0055114	AYCG.ctg34.116	biological_process
GO:0016020	AYCG.ctg34.116	cellular_component
GO:0009058	AYCG.ctg28.132	biological_process
GO:0030170	AYCG.ctg28.132	molecular_function
GO:0015031	AYCG.ctg9.10	biological_process
GO:0031145	AYCG.ctg14.27	biological_process
GO:0016787	AYCG.ctg14.27	molecular_function
GO:0016818	AYCG.ctg14.27	molecular_function
GO:0008270	AYCG.ctg14.27	molecular_function
GO:0003676	AYCG.ctg14.27	molecular_function
GO:0003677	AYCG.ctg14.27	molecular_function
GO:0046872	AYCG.ctg14.27	molecular_function
GO:0005524	AYCG.ctg14.27	molecular_function
GO:0005680	AYCG.ctg14.27	cellular_component
GO:0019346	AYCG.ctg10.65	biological_process
GO:0009058	AYCG.ctg10.65	biological_process
GO:0030170	AYCG.ctg10.65	molecular_function
GO:0003824	AYCG.ctg10.65	molecular_function
GO:0006355	AYCG.ctg4.323	biological_process
GO:0043565	AYCG.ctg4.323	molecular_function
GO:0003677	AYCG.ctg4.323	molecular_function
GO:0008270	AYCG.ctg4.323	molecular_function
GO:0005515	AYCG.ctg4.323	molecular_function
GO:0016787	AYCG.ctg5.797	molecular_function
GO:0003676	AYCG.ctg5.797	molecular_function
GO:0005524	AYCG.ctg5.797	molecular_function
GO:0003677	AYCG.ctg5.797	molecular_function
GO:0003924	add.AYCG.ctg27.42	molecular_function
GO:0005525	add.AYCG.ctg27.42	molecular_function
GO:0007165	AYCG.ctg7.88	biological_process
GO:0005515	AYCG.ctg7.88	molecular_function
GO:0005515	AYCG.ctg17.244	molecular_function
GO:0006397	AYCG.ctg11.153	biological_process
GO:0005515	AYCG.ctg11.153	molecular_function
GO:0005634	AYCG.ctg11.153	cellular_component
GO:0006468	AYCG.ctg7.104	biological_process
GO:0005515	AYCG.ctg7.104	molecular_function
GO:0005509	AYCG.ctg7.104	molecular_function
GO:0005524	AYCG.ctg7.104	molecular_function
GO:0004672	AYCG.ctg7.104	molecular_function
GO:0005509	AYCG.ctg28.37	molecular_function
GO:0005515	AYCG.ctg28.37	molecular_function
GO:0009847	AYCG.ctg25.161	biological_process
GO:0016020	AYCG.ctg25.161	cellular_component
GO:0006075	add.AYCG.ctg21.24	biological_process
GO:0003843	add.AYCG.ctg21.24	molecular_function
GO:0016020	add.AYCG.ctg21.24	cellular_component
GO:0000148	add.AYCG.ctg21.24	cellular_component
GO:0055085	AYCG.ctg28.148	biological_process
GO:0051287	AYCG.ctg28.148	molecular_function
GO:0022857	AYCG.ctg28.148	molecular_function
GO:0009055	AYCG.ctg28.148	molecular_function
GO:0016021	AYCG.ctg28.148	cellular_component
GO:0031145	AYCG.ctg26.21	biological_process
GO:0008270	AYCG.ctg26.21	molecular_function
GO:0046872	AYCG.ctg26.21	molecular_function
GO:0005680	AYCG.ctg26.21	cellular_component
GO:0003677	add.AYCG.ctg24.172	molecular_function
GO:0005861	AYCG.ctg72.1	cellular_component
GO:0006412	AYCG.ctg6.291	biological_process
GO:0003735	AYCG.ctg6.291	molecular_function
GO:0003723	AYCG.ctg6.291	molecular_function
GO:0005840	AYCG.ctg6.291	cellular_component
GO:0044237	AYCG.ctg34.299	biological_process
GO:0003924	AYCG.ctg5.773	molecular_function
GO:0005525	AYCG.ctg5.773	molecular_function
GO:0010215	AYCG.ctg18.33	biological_process
GO:0005975	AYCG.ctg18.33	biological_process
GO:0030246	AYCG.ctg18.33	molecular_function
GO:0004553	AYCG.ctg18.33	molecular_function
GO:0031225	AYCG.ctg18.33	cellular_component
GO:0050434	add.AYCG.ctg21.108	biological_process
GO:0001070	add.AYCG.ctg21.108	molecular_function
GO:0042025	add.AYCG.ctg21.108	cellular_component
GO:0055114	AYCG.ctg20.331	biological_process
GO:0005506	AYCG.ctg20.331	molecular_function
GO:0016705	AYCG.ctg20.331	molecular_function
GO:0020037	AYCG.ctg20.331	molecular_function
GO:0008168	AYCG.ctg31.172	molecular_function
GO:0005992	AYCG.ctg17.189	biological_process
GO:0003824	AYCG.ctg17.189	molecular_function
GO:0005515	AYCG.ctg7.364	molecular_function
GO:0003824	AYCG.ctg51.38	molecular_function
GO:0010333	AYCG.ctg51.38	molecular_function
GO:0000287	AYCG.ctg51.38	molecular_function
GO:0016829	AYCG.ctg51.38	molecular_function
GO:0006260	AYCG.ctg9.373	biological_process
GO:0055114	AYCG.ctg9.373	biological_process
GO:0004748	AYCG.ctg9.373	molecular_function
GO:0005524	AYCG.ctg9.373	molecular_function
GO:0005516	AYCG.ctg3.455	molecular_function
GO:0030866	AYCG.ctg5.504	biological_process
GO:0006412	AYCG.ctg5.504	biological_process
GO:0008092	AYCG.ctg5.504	molecular_function
GO:0003735	AYCG.ctg5.504	molecular_function
GO:0005856	AYCG.ctg5.504	cellular_component
GO:0005840	AYCG.ctg5.504	cellular_component
GO:0006535	AYCG.ctg24.452	biological_process
GO:0009001	AYCG.ctg24.452	molecular_function
GO:0005737	AYCG.ctg24.452	cellular_component
GO:0006355	add.AYCG.ctg17.101	biological_process
GO:0003690	add.AYCG.ctg17.101	molecular_function
GO:0006487	AYCG.ctg13.192	biological_process
